id,colorCode,Advance_889_post,Advance_889,Advance_889_dual,slimline_890b_build,popular_post,stow_post,display_post,heavyduty_post,heavyduty_screwfix_post,heavyduty_dual,Slimline_890_build,wide_cassette_post,wide_cassette_dual,heavyduty150_screwfix_post,heavyduty_dual_screwfix_post,utility887_post,safety888_post,slimline_890,tensaclear_post,outdoortwin_post,heavydutybayonettwin_post,heavydutyscrewfixtwin_post,Advance_889_Magnetic_post,680_post,telescopic_post,rotateheadmain_post,rotateheadsub_post,safety888sub_post,rotateheadassy_post,889_postfinishupcharge,qwayplus_post,marine_post,Advance_889B_post,rb1sub_post,889phw_subpost,slimline_890_build_head
Grey Texture Interpon 200 (200),200,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x
Midnight Blue Ral5022 (5022),5022,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x
Clear (ASSY),ASSY,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
Yellow (Assy-35),ASSY-35,,,,,x,x,,x,x,x,,,,,x,,,,,,,,,,,,,,,,,,,,,
White (Assy-32),ASSY-32,,,,,x,x,,x,x,x,,,,,x,,,,,,,,,,,,,,,,,,,,,
Blue (Assy-23),ASSY-23,,,,,x,x,,x,x,x,,,,,x,,,,,,,,,,,,,,,,,,,,,
Red (Assy-21),ASSY-21,,,,,x,x,,x,x,x,,,,,x,,,,,,,,,,,,,,,,,,,,,
Black (33-ASSY),33-ASSY,,,,,x,x,,x,x,x,,,,,x,,,,,,,,,,,,,,,,,,,,,
Marine Coated Black (MAR-33),MAR-33,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiger Drylac # 038/99999 Bengal Silver Marine (MARINE-99),MARINE-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Satin Black Flat Pack (33SF),33SF,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMS 289 (289),289,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
Yellow (35) with Black (33) Post Head,35-33,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiger Drylac # 38/90010 Silver Marine (MARINE-38),MARINE-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Tiger Drylac Metallic # 038/90016 Argento 312 (MARINE312),MARINE-312,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
